baseline_top1,baseline_top2_1,baseline_top2_2,baseline_tp,baseline_unsafe,case_id,llm_backup,llm_primary,llm_tp,llm_unsafe,oracle_backup,oracle_primary,overrode_baseline
1,1,2,2,False,1,2,1,2,False,2,1,False
3,3,10,2,False,2,10,3,2,False,10,3,False
1,1,2,1,False,3,2,1,1,False,3,1,False
1,1,2,2,False,4,2,1,2,False,2,1,False
3,3,4,1,False,5,4,3,1,False,3,2,False
1,1,2,1,False,6,2,1,1,False,3,1,False
1,1,2,0,True,7,6,3,1,False,5,3,True
1,1,2,1,False,8,2,1,1,False,3,1,False
1,1,2,2,False,9,2,1,2,False,2,1,False
1,1,2,2,False,10,2,1,2,False,2,1,False
1,1,2,2,False,11,2,1,2,False,2,1,False
1,1,2,2,False,12,2,1,2,False,2,1,False
1,1,2,1,False,13,2,1,1,False,3,1,False
1,1,2,2,False,14,2,1,2,False,2,1,False
1,1,2,0,True,15,2,1,0,True,5,3,False
1,1,2,1,True,16,1,2,1,False,4,2,True
1,1,2,2,False,17,2,1,2,False,2,1,False
1,1,2,2,False,18,2,1,2,False,2,1,False
1,1,2,1,False,19,2,1,1,False,3,1,False
1,1,2,1,True,20,1,2,1,False,3,2,True
2,2,10,2,False,21,10,2,2,False,10,2,False
1,1,2,1,False,22,2,1,1,False,3,1,False
3,3,4,2,False,23,4,3,2,False,4,3,False
1,1,2,1,False,24,2,1,1,False,3,1,False
1,1,2,1,True,25,2,1,1,True,3,2,False
1,1,2,2,False,26,2,1,2,False,2,1,False
1,1,2,1,True,27,2,1,1,True,3,2,False
7,7,8,1,False,28,8,7,1,False,1,7,False
1,1,2,2,False,29,2,1,2,False,2,1,False
1,1,2,2,False,30,2,1,2,False,2,1,False
1,1,2,2,False,31,2,1,2,False,2,1,False
5,5,6,1,False,32,6,5,1,False,10,5,False
1,1,2,2,False,33,2,1,2,False,2,1,False
1,1,2,2,False,34,2,1,2,False,2,1,False
1,1,2,2,False,35,2,1,2,False,2,1,False
5,5,1,2,False,36,1,5,2,False,1,5,False
1,1,2,2,False,37,2,1,2,False,2,1,False
1,1,2,1,True,38,1,2,1,False,4,2,True
1,1,2,2,False,39,2,1,2,False,2,1,False
1,1,2,2,False,40,2,1,2,False,2,1,False
1,1,2,2,False,41,2,1,2,False,2,1,False
1,1,2,2,False,42,2,1,2,False,2,1,False
1,1,2,2,False,43,2,1,2,False,2,1,False
1,1,2,1,False,44,2,1,1,False,4,1,False
1,1,2,2,False,45,2,1,2,False,2,1,False
4,4,10,1,True,46,1,10,2,False,1,10,True
1,1,2,1,True,47,1,2,1,False,4,2,True
9,9,6,2,False,48,6,9,2,False,6,9,False
1,1,2,2,False,49,2,1,2,False,2,1,False
1,1,2,1,False,50,2,1,1,False,3,1,False
