category,function,count,gas_used_total,ethereum_usd_at_basefee,polygon_usd_at_basefee,arbitrum_usd_at_basefee,optimism_usd_at_basefee,zksync_era_usd_at_basefee,tx_hashes
Deployment,deployContract,1,2753919,0.21420312,0.07116677,0.10710156,0.05355078,0.26775391,36fd5065503a50bf1321fb0925c8a4171ad5b6e8f9881605d0c743fc0cece7ef
Eligibility approvals,approveDonorEthicalCommittee,1,31472,0.00244793,0.0008133,0.00122396,0.00061198,0.00305991,3391fe0a01a7b8f4caf5386b2f953834641382b381047d39e8a66c7158ca8bb4
Eligibility approvals,approveRecipientEthicalCommittee,10,313380,0.02437507,0.00809837,0.01218754,0.00609377,0.03046884,"9122bbad6fbe753e4582eafe866615decc9fa2b0b01ce8a2708ad299b60bbacb,2d55862075f0eea0492ed326ad9b3b0179febd70986a76eef16eebf13100e6dc,f0ddad104f17416e11f888ba4b260498175b0be767ab7414be824d00eca8a391,cc81d3c2090c45ed2a7eb4a573602d2539097e3688906155238bdebd2682312c,a9852b5aa4759c92f80e2b9f371ba51966e74999abf0e8eeb7d693b532cac17e,d678b10c32623629cfb19befcd4765db749b506c5dc03399e2da2172dfd900c4,fce7264725db57aa5e9e8e729f9d3d5336db74fad338d649a99cac2726dd2988,f6166fe917becad9a8c2589016e547bcef0e217900ab424fcbb1907413a48b74,7cdf1ddd8bcbb284a34e1c7307dfb5c50376df6bac2a2ed17732dddae41b9a7f,cc0f59be6555beb039fad6947a1abb037ecbebbf4196c0fe185217b1b2d173e4"
Governance setup,registerEthicalCommittee,1,47837,0.00372082,0.0012362,0.00186041,0.0009302,0.00465102,d64dd925969c97a64f4ac9a37a3d9d75ceeae3be57a4f48c565b2cb434f2e006
Governance setup,registerHospital,1,47727,0.00371226,0.00123336,0.00185613,0.00092807,0.00464033,bada3f94f43f8cdae856778a657ac8520a90930b7ee2f1ef5b80ace63cd2bf11
Governance setup,registerLLM,1,47507,0.00369515,0.00122768,0.00184758,0.00092379,0.00461894,ca72afa96363b192c5b31b0e2063266e2cb8a09f4b70fd7f27d00f94224a2a0c
Governance setup,registerMedicalTeam,1,47221,0.00367291,0.00122029,0.00183645,0.00091823,0.00459113,a2b4221e0957cc56ac8a315d0ec5f681b658bd9efb52fb89929db578c54a385e
Identity binding,registerDonorAddress,1,70250,0.00546413,0.0018154,0.00273206,0.00136603,0.00683016,e1351298cbd1419959c827c59ef0f8b787fb872a5eeb132c602022e9b653da49
Identity binding,registerRecipientAddress,10,549456,0.04273735,0.01419904,0.02136867,0.01068434,0.05342168,"e84465c083f558b95381fac8a7fc7fc0aa79d34b72571bb4f98f7f26027cd46e,d83f52024aa026c3e0718e0a253d7a6f670bf197ba2a891f58445a06b9683b19,9fc4e9101667e5c8b4220908c04b938743ffff87217ce7d4544916b3e0358528,bd23594e9a4e8faaa116e58247fd5d78e55be964bf7eb4c465c0c72eb6c1680e,23e6628bbd8fcf1df113418718a65b3761841f257f1b0d6c2ef57453991c985e,a17c8075880693990dbe66269b7292e4f44ad80be1680220dd33cbdd13e90acc,dda72cc14e0ee38c34c4a1343e3f5fcf01112de8c01ffff4622a0a95c219e953,98a5ce7392ec8451583a31fc56f4bdc738ee53c4eb0658ca0ef9fb102ca58464,f8461550d81908908366151c68218eebd8928d49224706566c898db8cd1f59da,29524980ac8f268445f39d888feef11d1c4782ecac1f1b9d9b6590a85c49f0c1"
Match workflow,approveDonor,1,35829,0.00278682,0.00092589,0.00139341,0.00069671,0.00348353,ed7adb3b05eddbb5b9b2b38ba833e3ea573fc5aec760dacdf88bc7f38280fb70
Match workflow,approveFinalTransplant,1,33581,0.00261197,0.0008678,0.00130599,0.00065299,0.00326496,ad206ccdbaed555e66d1560fb03a398b87886aebb19a91940bee2c484dd56d1a
Match workflow,approveHospital,1,33289,0.00258926,0.00086025,0.00129463,0.00064731,0.00323657,2fc4b8aca290b990eaa7fc1081a069246edeb7b4161ee7bf0de94f3f78484e6c
Match workflow,approveMedicalTeam,1,50466,0.00392531,0.00130414,0.00196265,0.00098133,0.00490663,bd80d10cb4a4ce7cccbaa67b1859de87421e0de6a12cd4c3398071541ea35277
