"category","function","tx_hash","gas_used","effective_gas_price_gwei","fee_eth","source","note","ethereum_usd_at_basefee","polygon_usd_at_basefee","arbitrum_usd_at_basefee","optimism_usd_at_basefee","zksync_era_usd_at_basefee"
"Deployment","deployContract","0x36fd5065503a50bf1321fb0925c8a4171ad5b6e8f9881605d0c743fc0cece7ef","2753919","3.00000001","0.00826175702753919","observed_receipt","contract=0xb5883FF8d8fF6c8eeAb7CBEdc01FcF8d07a08278","0.21420312","0.07116677","0.10710156","0.05355078","0.26775391"
"Governance setup","registerHospital","0xbada3f94f43f8cdae856778a657ac8520a90930b7ee2f1ef5b80ace63cd2bf11","47727","3.00000001","0.00014318100047727","observed_receipt","hospital=0x9Aba15923381dc8ebF7D15b060362c5DA083849C","0.00371226","0.00123336","0.00185613","0.00092807","0.00464033"
"Governance setup","registerMedicalTeam","0xa2b4221e0957cc56ac8a315d0ec5f681b658bd9efb52fb89929db578c54a385e","47221","3.00000001","0.00014166300047221","observed_receipt","medicalTeam=0xD2b1DfE267406529Baa09db2C1a2F0C5fAE7693E","0.00367291","0.00122029","0.00183645","0.00091823","0.00459113"
"Governance setup","registerEthicalCommittee","0xd64dd925969c97a64f4ac9a37a3d9d75ceeae3be57a4f48c565b2cb434f2e006","47837","3.00000001","0.00014351100047837","observed_receipt","member=0xdb0BaEe6A0a69E157f1a238007229D6Dee0C9F26","0.00372082","0.0012362","0.00186041","0.0009302","0.00465102"
"Governance setup","registerLLM","0xca72afa96363b192c5b31b0e2063266e2cb8a09f4b70fd7f27d00f94224a2a0c","47507","3.00000001","0.00014252100047507","observed_receipt","llm=0x837139FC53ce1D530d0FeceEb0242DB5d9bB5553","0.00369515","0.00122768","0.00184758","0.00092379","0.00461894"
"Identity binding","registerDonorAddress","0xe1351298cbd1419959c827c59ef0f8b787fb872a5eeb132c602022e9b653da49","70250","3.00000001","0.0002107500007025","observed_receipt","donorId=1,addr=0x09b41975272B88218eDB76bf27Ff5DF457Ab4aeF","0.00546413","0.0018154","0.00273206","0.00136603","0.00683016"
"Identity binding","registerRecipientAddress","0xe84465c083f558b95381fac8a7fc7fc0aa79d34b72571bb4f98f7f26027cd46e","70338","3.00000001","0.00021101400070338","observed_receipt","recipientId=1,addr=0x24Ba8EA2eb4973430E9B2E60607B6F9D1b55Ef96","0.00547097","0.00181767","0.00273549","0.00136774","0.00683872"
"Identity binding","registerRecipientAddress","0xd83f52024aa026c3e0718e0a253d7a6f670bf197ba2a891f58445a06b9683b19","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=2,addr=0xA6265f63Bf3243Fe0E3c0C5D5Ef5094724069de2","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Identity binding","registerRecipientAddress","0x9fc4e9101667e5c8b4220908c04b938743ffff87217ce7d4544916b3e0358528","53226","3.00000001","0.00015967800053226","observed_receipt","recipientId=3,addr=0x881d472f5334eE922DB16eb5b3b91fEc2c00D78E","0.00413998","0.00137547","0.00206999","0.001035","0.00517498"
"Identity binding","registerRecipientAddress","0xbd23594e9a4e8faaa116e58247fd5d78e55be964bf7eb4c465c0c72eb6c1680e","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=4,addr=0xA1Bf6A0C02fa377d381ffc1048dBDcB2fD322672","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Identity binding","registerRecipientAddress","0x23e6628bbd8fcf1df113418718a65b3761841f257f1b0d6c2ef57453991c985e","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=5,addr=0x55AF7323383eBD673D28EE543e1bf90A6D15E669","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Identity binding","registerRecipientAddress","0xa17c8075880693990dbe66269b7292e4f44ad80be1680220dd33cbdd13e90acc","53226","3.00000001","0.00015967800053226","observed_receipt","recipientId=6,addr=0x06fe503f45B413106488980088678141c1897557","0.00413998","0.00137547","0.00206999","0.001035","0.00517498"
"Identity binding","registerRecipientAddress","0xdda72cc14e0ee38c34c4a1343e3f5fcf01112de8c01ffff4622a0a95c219e953","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=7,addr=0x4a15fc74181446B6599Dd6d106a097962F449E54","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
