function,gas_used,source,note,ethereum_usd_at_basefee,polygon_usd_at_basefee,arbitrum_usd_at_basefee,optimism_usd_at_basefee,zksync_era_usd_at_basefee
registerHospital,47359,observed_receipt,tx=0x0148d6b3cce2198b1ccfa3ca146c3453e096c96ed667292f961e8f94fd0b4dc8,0.00368364,0.00122385,0.00184182,0.00092091,0.00460455
registerEthicalCommittee,47368,observed_receipt,tx=0x2a20062d79c76ef3b0ec0650e1ba3c7743a4206621cc75c3e71e0dd354bc2f14,0.00368434,0.00122408,0.00184217,0.00092108,0.00460542
registerMedicalTeam,47371,observed_receipt,tx=0x37b71bfe5e15fa94db17302e158069c66fa16366fbf5c4ef082c65042ebc1789,0.00368457,0.00122416,0.00184229,0.00092114,0.00460572
registerLLM,47304,observed_receipt,tx=0xe38ca66e01e0f009d7406374ef1429255b9730b8feb9648682cb692836d5bd53,0.00367936,0.00122243,0.00183968,0.00091984,0.0045992
registerDonorAddress,70138,observed_receipt,tx=0xa768228bea4f30a15e95a6a479ea16316208550bb969c9cf2c41c53c67e194e7,0.00545542,0.00181251,0.00272771,0.00136385,0.00681927
registerRecipientAddress,70137,observed_receipt,tx=0x0c462cf6e5f1648e22516fa11afa0760a89edb80d402298fac55df874ae1997b,0.00545534,0.00181248,0.00272767,0.00136384,0.00681918
registerRecipientAddress,53037,observed_receipt,tx=0x1db484de9b35b94292ea735a5029c7eb76d574d20127b79b2eecd5eb2ac86ccb,0.00412528,0.00137058,0.00206264,0.00103132,0.0051566
registerDonor,234701,observed_receipt,tx=0x431161bdb3425b9707b47201eb057e9c9bb88c9b2c43aa535ac5de245abd5bab,0.01825533,0.00606514,0.00912766,0.00456383,0.02281916
registerRecipient,234728,observed_receipt,tx=0x79a4a192fb2aeeaf3bec83a57d267acacd54e5d8c7133462f7491a9a228aa2a2,0.01825743,0.00606584,0.00912871,0.00456436,0.02282178
registerRecipient,234716,observed_receipt,tx=0x357d8a97ae2d789d2ecb2f26a785f684b56f7518f12a2498b80bb10aab67fefd,0.01825649,0.00606553,0.00912825,0.00456412,0.02282062
approveDonorEthicalCommittee,31218,observed_receipt,tx=0xda07fa2645cd1ad544dccc072343807a4f687e4312bb864ac78c0eede1269951,0.00242817,0.00080674,0.00121409,0.00060704,0.00303522
approveRecipientEthicalCommittee,31210,observed_receipt,tx=0x09b118f30a4948fce79f900622489760926ada4b79821ee8236015d2b24bcdd8,0.00242755,0.00080653,0.00121378,0.00060689,0.00303444
approveRecipientEthicalCommittee,31210,observed_receipt,tx=0x56a521df3ed19577f880c93a99f7a37f0e4b0a2a3e9c549a62c65e455b97a658,0.00242755,0.00080653,0.00121378,0.00060689,0.00303444
createMatch,244060,observed_receipt,tx=0x9352830f8447ee88b9c3b52f99b5aa312b00303ea1a98ecd112aee06180f8260,0.01898328,0.006307,0.00949164,0.00474582,0.0237291
