function,sender_role,estimated_gas,error,ethereum_usd_at_basefee,polygon_usd_at_basefee,arbitrum_usd_at_basefee,optimism_usd_at_basefee,zksync_era_usd_at_basefee
registerHospital,Regulator,47515,,0.00369577,0.00122788,0.00184789,0.00092394,0.00461972
registerEthicalCommittee,Regulator,47524,,0.00369647,0.00122812,0.00184824,0.00092412,0.00462059
registerMedicalTeam,Regulator,47527,,0.00369671,0.00122819,0.00184835,0.00092418,0.00462088
registerLLM,Regulator,47460,,0.0036915,0.00122646,0.00184575,0.00092287,0.00461437
registerDonorAddress,Regulator,53602,,0.00416923,0.00138518,0.00208461,0.00104231,0.00521153
registerRecipientAddress,Regulator,53601,,0.00416915,0.00138516,0.00208458,0.00104229,0.00521144
registerDonor,Hospital,,"('execution reverted: Donor already registered', '0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000",,,,,
registerRecipient,Hospital,,"('execution reverted: Recipient already registered', '0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000",,,,,
approveDonorEthicalCommittee,EthicsCommittee,,"('execution reverted: Donor already approved', '0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000",,,,,
approveRecipientEthicalCommittee,EthicsCommittee,,"('execution reverted: Recipient already approved', '0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000",,,,,
createMatch,LLM,204289,,0.01588984,0.00527924,0.00794492,0.00397246,0.0198623
approveMedicalTeam,MedicalTeam,50525,,0.0039299,0.00130567,0.00196495,0.00098247,0.00491237
approveHospital,Hospital,50482,,0.00392655,0.00130456,0.00196328,0.00098164,0.00490819
approveDonor,Donor,53094,,0.00412972,0.00137206,0.00206486,0.00103243,0.00516214
approveRecipient,Recipient,53064,,0.00412738,0.00137128,0.00206369,0.00103185,0.00515923
approveFinalTransplant,EthicsCommittee,50503,,0.00392818,0.0013051,0.00196409,0.00098205,0.00491023
