timestamp_utc,category,role,function,tx_hash,gas_used,confirmation_s,status,notes
2026-03-10T22:35:16Z,Deployment,Regulator,deployContract,fdbc92c393be02a3b5231a537165bc55d65974a2b5640d59a61ff3089afb40fe,2486953,2.852,mined,contract=0x83546546D0f4cF7b6b5A79D25336C00B2503aaa7
2026-03-10T22:35:41Z,Governance setup,Regulator,registerHospital,0044b32f6a66f218becf99a58d90d2b71d0914a92689d7aeb193d5209b1d59f3,47727,24.919,mined,
2026-03-10T22:35:53Z,Governance setup,Regulator,registerEthicalCommittee,efbe797354a3edba0c85c7958cb76d848ecc149875769558886a60acf4a4228e,47837,11.57,mined,
2026-03-10T22:36:04Z,Governance setup,Regulator,registerMedicalTeam,1add1869bf97f53af9ac84a0c6a752aefaa93b903a8b2ccd2130ce0d40089a03,47221,11.53,mined,
2026-03-10T22:36:16Z,Governance setup,Regulator,registerLLM,557ac0e32cb92d1b2d5ed9da7a5ac206b54ae1232b2d5faafc1c93cdbbd34227,47507,11.53,mined,
2026-03-10T22:36:28Z,Identity binding,Regulator,registerDonorAddress,1fb5e561dc70c0941502e3b6ded6e6c278e132b4c7164d1abff6067987c0e195,70250,11.536,mined,
2026-03-10T22:36:40Z,Identity binding,Regulator,registerRecipientAddress,7fc75341669e1e32c4339d8207c96b9e971d57704e0be5d533e78bf10e46f9b6,70338,11.517,mined,i=1
2026-03-10T22:37:04Z,Identity binding,Regulator,registerRecipientAddress,fbf678a88ff4403e46eea6e78eebb1ac80ded30af2fb6ee7b63278b9f093220e,53238,22.686,mined,i=2
2026-03-10T22:37:16Z,Identity binding,Regulator,registerRecipientAddress,72d78c6f4be702105abed817e083a728634435d4b8b31752f47e99b66d6ca98c,53226,11.582,mined,i=3
2026-03-10T22:37:29Z,Identity binding,Regulator,registerRecipientAddress,e1bbb84e4380b5fd6fa8bc46c730d78409bb078f6040f27f9bff8558f229e377,53238,11.547,mined,i=4
2026-03-10T22:37:52Z,Identity binding,Regulator,registerRecipientAddress,65f0d72dbef36f7fb61d2fb822c7abe253187114e209a9fc36e718a5568f5952,53238,22.697,mined,i=5
2026-03-10T22:38:05Z,Identity binding,Regulator,registerRecipientAddress,b140ff46e9987bcb7aac19ef4bdc6380032e191b49049a298165a3178aba1e6a,53226,11.554,mined,i=6
2026-03-10T22:38:17Z,Identity binding,Regulator,registerRecipientAddress,046c63cc8b8ff98d7d986268bb9f60f1ed6fabd74473b0a93bee578f584d895f,53238,11.574,mined,i=7
2026-03-10T22:38:29Z,Identity binding,Regulator,registerRecipientAddress,5bdfdd0ae44b249319f20714f816f103239fd167df90bd09a728876c244f29e9,53238,11.56,mined,i=8
2026-03-10T22:38:53Z,Identity binding,Regulator,registerRecipientAddress,c526f481498d2a71b74560a822720ea3294f41c6c4bc741aacc9b1682121b4a4,53238,22.696,mined,i=9
2026-03-10T22:39:05Z,Identity binding,Regulator,registerRecipientAddress,e048367851e6c302d8bdde9fb0c2d84563f1b1aab4ee9116421136d9c8a744d3,53238,11.551,mined,i=10
2026-03-10T22:39:16Z,Profile registration,Hospital,registerDonor,3d427e9b87b97fbc959b6f2eb3b252bb480d9ae1fddc1dc7c5aaf9717334405f,234359,9.321,mined,
2026-03-10T22:39:27Z,Profile registration,Hospital,registerRecipient,fc0cfd1d064228bdebd423a105c39d3f3445e112fea852e8cd4bd860002cd2a5,234726,11.577,mined,i=1
2026-03-10T22:39:41Z,Profile registration,Hospital,registerRecipient,4222c21546ba6b3ac00c131dfb045b0c823ef5ce04d02aa9253293ca9e6b152b,234714,13.737,mined,i=2
