category,function,tx_hash,label
Deployment,deployContract,0x4b876f900c2553d37ad7a78aaf2a93a57c2045e54e611a907b556ffbc695814d,contract=0x2770C0D945be49a13415d008063b6D47e1eC5e0F
Governance setup,registerHospital,0x0148d6b3cce2198b1ccfa3ca146c3453e096c96ed667292f961e8f94fd0b4dc8,hospital=0x9Aba15923381dc8ebF7D15b060362c5DA083849C
Governance setup,registerMedicalTeam,0x37b71bfe5e15fa94db17302e158069c66fa16366fbf5c4ef082c65042ebc1789,medicalTeam=0xD2b1DfE267406529Baa09db2C1a2F0C5fAE7693E
Governance setup,registerEthicalCommittee,0x2a20062d79c76ef3b0ec0650e1ba3c7743a4206621cc75c3e71e0dd354bc2f14,member=0xdb0BaEe6A0a69E157f1a238007229D6Dee0C9F26
Governance setup,registerLLM,0xe38ca66e01e0f009d7406374ef1429255b9730b8feb9648682cb692836d5bd53,llm=0x837139FC53ce1D530d0FeceEb0242DB5d9bB5553
Identity binding,registerDonorAddress,0xa768228bea4f30a15e95a6a479ea16316208550bb969c9cf2c41c53c67e194e7,"donorId=1,addr=0x09b41975272B88218eDB76bf27Ff5DF457Ab4aeF"
Identity binding,registerRecipientAddress,0x0c462cf6e5f1648e22516fa11afa0760a89edb80d402298fac55df874ae1997b,"recipientId=1,addr=0x24Ba8EA2eb4973430E9B2E60607B6F9D1b55Ef96"
Identity binding,registerRecipientAddress,0x1db484de9b35b94292ea735a5029c7eb76d574d20127b79b2eecd5eb2ac86ccb,"recipientId=2,addr=0xA6265f63Bf3243Fe0E3c0C5D5Ef5094724069de2"
Identity binding,registerRecipientAddress,0xdc79bba1ebd2663b75a909795a6186199b0d8cbf8f2ffe286b42c21715723447,"recipientId=3,addr=0x881d472f5334eE922DB16eb5b3b91fEc2c00D78E"
Identity binding,registerRecipientAddress,0x9a12db2bb2d74b64d4dc009b47597c8ae77405df6c680f3b91d4b2469c341c6e,"recipientId=4,addr=0xA1Bf6A0C02fa377d381ffc1048dBDcB2fD322672"
Identity binding,registerRecipientAddress,0xf20cb9ff6a9aecbf2b8bfc1a8f25fd19a63e2deb6450139e7fce309976cb63bc,"recipientId=5,addr=0x55AF7323383eBD673D28EE543e1bf90A6D15E669"
Identity binding,registerRecipientAddress,0x4484bdd08e1a18092e39542ca493b0eb6df58441108137b5fd24da22eac52e36,"recipientId=6,addr=0x06fe503f45B413106488980088678141c1897557"
Identity binding,registerRecipientAddress,0x58cb17149761df23e21288e8c6412b8c83da197ae070b482b0dc1c49fbbcf722,"recipientId=7,addr=0x4a15fc74181446B6599Dd6d106a097962F449E54"
Identity binding,registerRecipientAddress,0xbc7eeb27ca71cbdd361e3310006ea1c319c2071b56b66464d313e1bdb41d577b,"recipientId=8,addr=0xb1764E2670CCA7698CF3f3c29c76333E2D4D2414"
