category,function,transaction_count,measured_gas_used,measured_sepolia_fee_wei,measured_sepolia_fee_test_eth,gas_5_gwei_eth,gas_5_gwei_usd,gas_15_gwei_eth,gas_15_gwei_usd,gas_30_gwei_eth,gas_30_gwei_usd,table7_ethereum_usd,table7_polygon_usd,table7_arbitrum_usd,table7_optimism_usd,table7_zksync_usd
Deployment,constructor,1,3058108,12247251728982860,0.012247251728982860,0.015290540000,38.2033,0.045871620000,114.6098,0.091743240000,229.2196,0.237863,0.079028,0.118932,0.059466,0.297329
Governance,setDecisionService,1,62320,254955246207200,0.000254955246207200,0.000311600000,0.7785,0.000934800000,2.3356,0.001869600000,4.6712,0.004847,0.001610,0.002424,0.001212,0.006059
Governance,setEthicsCommittee,1,62888,261318739714480,0.000261318739714480,0.000314440000,0.7856,0.000943320000,2.3569,0.001886640000,4.7138,0.004892,0.001625,0.002446,0.001223,0.006114
Governance,setHospital,1,61946,255721845863534,0.000255721845863534,0.000309730000,0.7739,0.000929190000,2.3216,0.001858380000,4.6431,0.004818,0.001601,0.002409,0.001205,0.006023
Governance,setMedicalTeam,1,62518,253855352041672,0.000253855352041672,0.000312590000,0.7810,0.000937770000,2.3430,0.001875540000,4.6860,0.004863,0.001616,0.002431,0.001216,0.006078
Identity binding,registerDonorAuthority,1,84020,354177097879160,0.000354177097879160,0.000420100000,1.0496,0.001260300000,3.1488,0.002520600000,6.2977,0.006535,0.002171,0.003268,0.001634,0.008169
Identity binding,registerRecipientAddress,10,686716,2834140663211184,0.002834140663211184,0.003433580000,8.5788,0.010300740000,25.7363,0.020601480000,51.4726,0.053414,0.017746,0.026707,0.013353,0.066767
Match workflow,approveDonorAuthority,1,60188,246912920419700,0.000246912920419700,0.000300940000,0.7519,0.000902820000,2.2557,0.001805640000,4.5114,0.004681,0.001555,0.002341,0.001170,0.005852
Match workflow,approveFinalTransplant,1,58270,239025950163740,0.000239025950163740,0.000291350000,0.7279,0.000874050000,2.1838,0.001748100000,4.3676,0.004532,0.001506,0.002266,0.001133,0.005665
Match workflow,approveHospital,1,57956,233047270279324,0.000233047270279324,0.000289780000,0.7240,0.000869340000,2.1720,0.001738680000,4.3441,0.004508,0.001498,0.002254,0.001127,0.005635
Match workflow,approveMedicalTeam,1,75155,306890952514835,0.000306890952514835,0.000375775000,0.9389,0.001127325000,2.8166,0.002254650000,5.6332,0.005846,0.001942,0.002923,0.001461,0.007307
Match workflow,approveRecipient,1,60339,243182568450708,0.000243182568450708,0.000301695000,0.7538,0.000905085000,2.2613,0.001810170000,4.5227,0.004693,0.001559,0.002347,0.001173,0.005867
Match workflow,createMatch,1,309597,1258150408087542,0.001258150408087542,0.001547985000,3.8676,0.004643955000,11.6029,0.009287910000,23.2058,0.024081,0.008001,0.012040,0.006020,0.030101
Match workflow,finalizeMatch,1,63122,254265638671022,0.000254265638671022,0.000315610000,0.7885,0.000946830000,2.3656,0.001893660000,4.7313,0.004910,0.001631,0.002455,0.001227,0.006137
Profile registration,registerDonor,1,165189,686254261502412,0.000686254261502412,0.000825945000,2.0636,0.002477835000,6.1908,0.004955670000,12.3817,0.012849,0.004269,0.006424,0.003212,0.016061
Profile registration,registerRecipient,10,1658286,6823166224249059,0.006823166224249059,0.008291430000,20.7161,0.024874290000,62.1482,0.049748580000,124.2963,0.128983,0.042853,0.064492,0.032246,0.161229
Workflow eligibility,setDonorEligibility,1,33970,137559707388360,0.000137559707388360,0.000169850000,0.4244,0.000509550000,1.2731,0.001019100000,2.5462,0.002642,0.000878,0.001321,0.000661,0.003303
Workflow eligibility,setRecipientEligibility,10,311580,1268329623469848,0.001268329623469848,0.001557900000,3.8924,0.004673700000,11.6772,0.009347400000,23.3544,0.024235,0.008052,0.012118,0.006059,0.030294
