category,role,function,arguments,sender,tx_hash,status,block_number,gas_used,effective_gas_price_wei,fee_wei,fee_native,submitted_at_utc,confirmed_at_utc,confirmation_seconds
Deployment,Regulator,constructor,initial_regulator=regulator,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0xb020b2640cf17cded9889e1e27871c72e13766f32a174d8d988ffb1ca1b24f0b,1,11662075,3058108,4004846045,12247251728982860,0.012247251728982860,2026-09-08T16:00:13Z,2026-09-08T16:00:39Z,25.79
Governance,Regulator,setHospital,"account=hospital,enabled=true",0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x7c7eed5ea7a242ea7d9736d4cc8c5be4d4060fc3d964056be5dca02bd01f2272,1,11662076,61946,4128141379,255721845863534,0.000255721845863534,2026-09-08T16:00:40Z,2026-09-08T16:00:49Z,8.787
Governance,Regulator,setMedicalTeam,"account=medical_team,enabled=true",0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x58ace006c757c0e75b937dc21a8dd3f20b8e28dda573a5edc66d24cacb56fcd3,1,11662077,62518,4060516204,253855352041672,0.000253855352041672,2026-09-08T16:00:50Z,2026-09-08T16:01:01Z,10.922
Governance,Regulator,setEthicsCommittee,"account=ethics_committee,enabled=true",0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x32c5a257879bc948cf73e5cc55bb7a0ac256dea7b238bb9e8c09dac9bbc903f7,1,11662078,62888,4155303710,261318739714480,0.000261318739714480,2026-09-08T16:01:02Z,2026-09-08T16:01:15Z,13.028
Governance,Regulator,setDecisionService,"account=decision_service,enabled=true",0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x2c22bf3dacc63798dfade6247bc6032677cc744fb178ebcf597db61f3069019e,1,11662079,62320,4091066210,254955246207200,0.000254955246207200,2026-09-08T16:01:16Z,2026-09-08T16:01:26Z,10.917
Identity binding,Regulator,registerDonorAuthority,donor_id=1,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x46346f5614470997f2965100fbfd279d46abc003266a525f356cde9bf3be51ed,1,11662080,84020,4215390358,354177097879160,0.000354177097879160,2026-09-08T16:01:27Z,2026-09-08T16:01:38Z,10.895
Identity binding,Regulator,registerRecipientAddress,recipient_id=1,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x1279611b5ac427ee0cc1a6e5810d4f77aef82fbe399ffa928f156410b13c55b7,1,11662081,84064,4139968769,348022334597216,0.000348022334597216,2026-09-08T16:01:39Z,2026-09-08T16:01:48Z,8.867
Identity binding,Regulator,registerRecipientAddress,recipient_id=2,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x5c42a9df3ef0f761d60f47576ce28ce866be789763421a560bc744684b904828,1,11662082,66964,4090027497,273884601309108,0.000273884601309108,2026-09-08T16:01:49Z,2026-09-08T16:02:02Z,13.034
Identity binding,Regulator,registerRecipientAddress,recipient_id=3,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x232ec9ad1e99f09486ffd68ae9fcb54a992987118603144da0770ce97d5a0229,1,11662083,66964,4187794820,280431492326480,0.000280431492326480,2026-09-08T16:02:03Z,2026-09-08T16:02:24Z,21.54
Identity binding,Regulator,registerRecipientAddress,recipient_id=4,0x0DEcB4d4A5946462823C83AAf5c7dfaE560B6193,0x59b50d91bb3aa3bc5df19bef09f87064a447b78afffd81e28be3236ac2e997b0,1,11662084,66964,4149378735,277858997610540,0.000277858997610540,2026-09-08T16:02:25Z,2026-09-08T16:02:38Z,13.047
