category,function,transaction_count,gas_used_total,fee_wei_total,fee_native_total,confirmation_seconds_median,confirmation_seconds_min,confirmation_seconds_max
Deployment,constructor,1,3058108,12247251728982860,0.012247251728982860,25.79,25.79,25.79
Governance,setHospital,1,61946,255721845863534,0.000255721845863534,8.787,8.787,8.787
Governance,setMedicalTeam,1,62518,253855352041672,0.000253855352041672,10.922,10.922,10.922
Governance,setEthicsCommittee,1,62888,261318739714480,0.000261318739714480,13.028,13.028,13.028
Governance,setDecisionService,1,62320,254955246207200,0.000254955246207200,10.917,10.917,10.917
Identity binding,registerDonorAuthority,1,84020,354177097879160,0.000354177097879160,10.895,10.895,10.895
Identity binding,registerRecipientAddress,10,686716,2834140663211184,0.002834140663211184,10.936,8.867,21.54
Profile registration,registerDonor,1,165189,686254261502412,0.000686254261502412,10.91,10.91,10.91
Profile registration,registerRecipient,10,1658286,6823166224249059,0.006823166224249059,10.925,10.895,13.032
Workflow eligibility,setDonorEligibility,1,33970,137559707388360,0.000137559707388360,10.901,10.901,10.901
Workflow eligibility,setRecipientEligibility,10,311580,1268329623469848,0.001268329623469848,10.917,8.78,13.083
Match workflow,createMatch,1,309597,1258150408087542,0.001258150408087542,13.025,13.025,13.025
Match workflow,approveMedicalTeam,1,75155,306890952514835,0.000306890952514835,10.923,10.923,10.923
Match workflow,approveHospital,1,57956,233047270279324,0.000233047270279324,10.92,10.92,10.92
Match workflow,approveDonorAuthority,1,60188,246912920419700,0.000246912920419700,10.941,10.941,10.941
Match workflow,approveRecipient,1,60339,243182568450708,0.000243182568450708,10.908,10.908,10.908
Match workflow,approveFinalTransplant,1,58270,239025950163740,0.000239025950163740,10.902,10.902,10.902
Match workflow,finalizeMatch,1,63122,254265638671022,0.000254265638671022,10.905,10.905,10.905
